OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587735346966495292,189.52700,13.873900,0.091726700,1.9759800e-05,11.015200,1.49176,17.135500,15.567900,14.923100,14.677000,14.370300,-20.009400,-21.535900,-22.185400,-22.414100,-22.708600,2.5515600,162.52300,8.2246700,1.4278400,0.012457900,82.615200,14.628600,76.109900,5.8659400,-1.8977100,6.1745700,272.36100,12.438700,-41.5688,6.11209,348.12300,11.022300,4.2269500,1.29420e+27
587738569779576937,190.51900,15.151600,0.087160100,1.1114300e-05,10.828800,2.97039,16.390500,14.923800,14.381400,14.323100,14.021400,-20.644700,-22.065300,-22.610100,-22.650200,-22.939300,1.4285600,184.09900,6.4688600,1.3241900,0.0055363200,35.700900,6.6327900,23.658100,6.2126000,-27.868800,9.2135500,43.535200,10.010100,-64.8758,9.99925,99.313700,7.2633000,1.7886400,1.22595e+27
587738570318086261,194.35100,15.586700,0.11906600,1.7343200e-05,10.398300,0.918568,18.577700,17.124800,16.498800,16.254000,16.016300,-19.182800,-20.588300,-21.216000,-21.442300,-21.667400,1.4609400,125.42900,12.580300,1.3557700,0.022060400,31.100600,4.6397200,39.341800,3.3031700,12.527000,2.3319400,100.07700,4.0683500,0.439514,2.31813,112.47300,3.5850900,3.1236600,1.71076e+27
587736804545134756,194.90800,14.886000,0.022121700,7.7415400e-06,9.0012400,0.141844,17.401900,16.137600,15.573000,15.395500,15.641800,-16.556800,-17.773300,-18.339500,-18.498500,-18.239600,4.0000300,39.268500,15.259000,1.2082900,0.016581300,0.0000000,-0.72525000,137.40900,3.3804600,82.168200,2.6189500,255.35900,3.4494100,25.4069,2.51973,41.134700,1.7084300,0.70536200,2.97014e+26
587738568708587631,196.88700,14.062500,0.061180400,1.0185100e-05,10.013600,0.929980,18.907700,17.340500,16.639100,16.317600,15.977100,-17.320500,-18.841200,-19.544500,-19.847600,-20.175500,1.7629600,65.066100,13.831700,1.2954000,0.034335400,10.495700,3.5513900,8.8645000,1.8144300,30.167400,1.9048500,161.95800,2.8732800,4.60268,1.96188,54.452600,2.1846800,2.5947700,8.45137e+26
587738569782526059,197.36000,14.920100,0.12867100,1.8679300e-05,10.509900,0.752655,18.061400,16.649100,16.073500,15.923800,15.663000,-19.880000,-21.245800,-21.823600,-21.954900,-22.203100,1.3827000,111.33200,8.8494100,1.4749700,0.017080000,13.376800,4.5569600,16.723000,3.2934700,5.7996800,2.4641300,30.657500,3.3267400,-0.492723,2.32966,42.634800,3.4958200,1.5341700,1.86030e+27
587736808298774597,201.06300,14.132000,0.094827700,1.4379000e-05,10.876600,2.16675,16.947400,15.482900,14.868200,14.640300,14.329700,-20.283500,-21.701000,-22.317500,-22.527100,-22.825000,2.7721700,166.13100,7.1412700,1.3849400,0.0095394400,13.690500,6.3200700,11.346900,3.9120300,3.7677900,3.1118500,77.840000,4.2071800,-14.5513,3.09438,77.166800,4.4796700,1.9411300,1.34076e+27
587738568711274630,203.17700,13.715000,0.28287000,2.2571500e-05,11.303000,17.6367,18.255300,17.045900,16.501000,16.364200,16.114600,-21.592300,-22.754200,-23.300800,-23.419100,-23.656100,1.5969000,189.09100,18.694900,1.3118300,0.016698800,79.091500,6.2205600,98.812100,3.1328600,17.420900,3.0978100,127.56200,8.1578700,4.28052,2.90644,151.50600,5.5572300,3.1663500,4.47254e+27
587738568711143638,202.95300,13.727000,0.15007400,1.9175200e-05,11.090500,10.6979,17.874500,16.463200,15.809600,15.575500,15.310100,-20.431900,-21.795400,-22.450700,-22.666400,-22.919100,2.2501700,223.95000,15.268900,1.4002900,0.022663300,7.3233400,5.5139100,38.132000,4.0035600,54.412500,3.4101100,305.11200,5.3005300,3.96180,2.99756,141.75400,4.3041600,3.8879400,2.19939e+27
587738569248211128,203.46200,14.214500,0.079582000,9.9015600e-06,9.9824800,0.354991,18.382500,16.945900,16.355300,16.188000,15.959200,-18.445500,-19.834800,-20.427200,-20.576000,-20.792200,1.1302100,86.045100,11.393100,1.3908400,0.018210600,78.085700,5.5225400,217.58400,4.7436800,41.753200,2.7788700,161.63800,3.4693100,6.07495,2.79708,141.95700,3.2050200,2.5839100,1.11356e+27
