OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587725550135935073,169.26042,65.567062,0.096179694,1.35848e-05,10.495303,0.371819,18.019200,16.817000,16.201900,15.938300,15.739100,-19.245000,-20.398800,-21.015300,-21.260500,-21.447200,1.8388100,120.051,5.98697,1.63051,0.0214426,15.5380,3.18686,12.7205,1.65327,13.7874,1.49468,44.0941,1.63069,0.248089,1.52678,32.8177,1.57415,2.27305,1.36112e+27
587727220869693746,343.65366,13.076649,0.10889592,6.55424e-06,10.205266,4.63242,17.540300,16.455100,16.058800,15.915600,15.676200,-20.005000,-21.047400,-21.447600,-21.573100,-21.800100,1.7855800,116.341,16.2665,1.13388,0.0116820,150.791,5.65495,74.1654,3.07073,146.452,3.35811,557.386,6.43845,34.2950,2.74666,174.573,3.30799,1.15606,1.55421e+27
587726016682852489,187.61140,3.6309056,0.098800622,1.53304e-05,10.607732,2.71014,18.467400,17.173200,16.436500,16.037700,15.838900,-18.858500,-20.105600,-20.844100,-21.224500,-21.410700,1.8581300,84.3041,8.87964,1.48043,0.0335836,10.6891,2.64626,2.07504,1.71932,15.6018,1.63516,94.0293,2.04230,5.22165,1.78203,37.7405,2.03542,2.42476,1.40067e+27
588023047472218488,125.84686,15.413330,0.16669694,3.04661e-05,11.316987,6.68664,17.918900,16.469300,15.690000,15.356500,15.215600,-20.635100,-22.039300,-22.821100,-23.136500,-23.264800,2.0097100,270.900,13.7898,1.41320,0.0171773,-4.01292,7.72328,11.9896,3.89605,28.9761,4.75557,22.6561,4.52413,29.3009,4.81139,31.3750,3.92927,3.12614,2.46821e+27
587729388214943955,138.44930,51.235554,0.17663883,6.41571e-06,10.332029,8.29668,18.297900,17.393300,17.004400,16.818200,16.554300,-20.398000,-21.254400,-21.644700,-21.812300,-22.063700,1.3774600,105.869,17.7466,1.16571,0.0195662,41.1544,2.96915,58.2085,81.8296,70.8132,2.56628,266.121,5.34843,15.0846,2.45728,102.223,3.46173,1.37410,2.63123e+27
587738574604927106,192.88495,40.444279,0.065798692,7.87942e-06,9.9605465,0.933871,17.441900,16.270800,15.764300,15.600200,15.461700,-18.952700,-20.075200,-20.583200,-20.728800,-20.854900,3.0217500,18.8309,24.4975,1.27586,0.0234108,31.9151,2.40539,16.1228,1.94393,78.1531,2.32328,279.590,3.53843,19.3963,2.32431,84.2719,2.13666,1.37238,9.11900e+26
587733604794040446,220.13911,55.138660,0.095725074,1.63386e-05,10.904559,0.188365,17.684300,15.967300,15.250500,14.948300,14.647400,-19.569200,-21.237800,-21.956100,-22.239800,-22.528200,1.6190600,181.924,6.01258,1.84645,0.0239077,22.9260,19.1379,16.7307,5.85314,-3.09429,2.22791,3.72790,2.24474,1.84250,2.42407,6.73793,4.91253,2.70295,1.35427e+27
587742551222518082,230.99619,14.559349,0.12341169,2.15815e-05,11.031924,0.165500,19.212600,16.624000,15.888300,15.539200,15.313500,-18.624000,-21.170800,-21.910500,-22.241800,-22.455200,2.1032900,161.637,9.64700,1.85356,0.0493028,44.8079,7.48856,80.1854,3.96774,23.5466,3.94342,86.7750,5.02021,4.19259,3.61910,136.592,4.57992,3.39118,1.77821e+27
587745404152643768,149.34012,15.393684,0.061969712,1.16277e-05,9.8367872,0.220998,18.331200,17.211800,16.580500,16.293300,16.066500,-17.926100,-18.998800,-19.632200,-19.901100,-20.115200,1.5269500,69.5471,8.93576,1.41897,0.0247807,39.1094,3.75256,21.1076,2.07095,39.8415,2.02203,136.420,2.76762,12.1915,2.32417,60.4867,2.12270,0.979183,8.56518e+26
587738411942740046,165.84975,15.284534,0.22186051,8.31704e-06,10.855829,20.7110,17.806100,16.771200,16.390700,16.261600,16.100900,-21.442300,-22.429100,-22.811100,-22.921800,-23.069800,2.0757400,125.947,17.1358,1.20366,0.0174039,36.2191,3.32059,35.4836,2.16685,75.5980,2.71393,336.429,4.92142,15.9313,2.10971,100.479,2.92779,1.64961,3.39333e+27
